frame,face_id,timestamp,confidence,success,pose_Rx,pose_Ry,pose_Rz,eye_lmk_x_25,eye_lmk_y_25,eye_lmk_x_53,eye_lmk_y_53,face_coord_x,face_coord_y,new_face_id,face_id_update
53,0,1.733,0.98,1,0.011,-0.479,0.107,420.1,274.0,473.2,277.2,446.65,275.6,0.0,False
54,0,1.767,0.98,1,0.008,-0.457,0.091,407.0,274.8,466.6,276.9,436.8,275.85,0.0,False
55,0,1.8,0.98,1,-0.006,-0.425,0.079,392.8,275.3,460.0,275.4,426.4,275.35,0.0,False
56,0,1.833,0.88,1,0.006,-0.397,0.078,380.9,274.5,452.1,274.1,416.5,274.3,0.0,False
57,0,1.867,0.98,1,-0.052,-0.253,0.021,352.7,276.2,422.1,277.1,387.4,276.65,0.0,False
58,0,1.9,0.98,1,-0.048,-0.166,-0.014,340.2,276.2,412.7,275.9,376.45,276.04999999999995,0.0,False
59,0,1.933,0.98,1,-0.045,-0.088,-0.043,327.9,276.6,403.5,275.2,365.7,275.9,0.0,False
60,0,1.967,0.98,1,-0.046,-0.024,-0.062,316.7,277.5,395.1,275.0,355.9,276.25,0.0,False
61,0,2.0,0.98,1,-0.053,-0.005,-0.053,308.0,277.7,386.6,274.2,347.3,275.95,0.0,False
62,0,2.033,0.98,1,-0.044,0.021,-0.058,301.0,277.9,379.5,273.5,340.25,275.7,0.0,False
63,0,2.067,0.98,1,-0.05,0.039,-0.067,296.1,278.3,374.8,273.0,335.45000000000005,275.65,0.0,False
64,0,2.1,0.98,1,-0.047,0.055,-0.078,291.8,278.9,370.9,272.9,331.35,275.9,0.0,False
65,0,2.133,0.98,1,-0.045,0.067,-0.089,289.0,279.5,367.8,272.9,328.4,276.2,0.0,False
66,0,2.167,0.98,1,-0.044,0.077,-0.097,287.2,280.0,366.1,272.9,326.65,276.45,0.0,False
67,0,2.2,0.98,1,-0.039,0.082,-0.103,285.9,280.3,364.6,272.8,325.25,276.55,0.0,False
68,0,2.233,0.98,1,-0.029,0.083,-0.109,284.7,280.9,363.8,273.0,324.25,276.95,0.0,False
69,0,2.267,0.98,1,-0.02,0.084,-0.111,283.9,281.7,362.7,273.9,323.29999999999995,277.79999999999995,0.0,False
70,0,2.3,0.98,1,-0.014,0.086,-0.115,283.4,282.2,362.2,274.4,322.79999999999995,278.29999999999995,0.0,False
71,0,2.333,0.98,1,-0.01,0.088,-0.117,283.0,282.7,362.7,274.8,322.85,278.75,0.0,False
72,0,2.367,0.98,1,-0.005,0.089,-0.117,283.0,283.2,362.7,275.5,322.85,279.35,0.0,False
73,0,2.4,0.98,1,0.002,0.085,-0.116,283.1,284.0,362.7,276.3,322.9,280.15,0.0,False
74,0,2.433,0.98,1,0.011,0.085,-0.117,283.2,284.7,362.9,276.9,323.04999999999995,280.79999999999995,0.0,False
75,0,2.467,0.98,1,0.02,0.086,-0.119,283.3,285.2,362.8,277.6,323.05,281.4,0.0,False
76,0,2.5,0.98,1,0.022,0.086,-0.119,283.4,286.1,362.9,277.8,323.15,281.95000000000005,0.0,False
