frame,face_id,timestamp,confidence,success,pose_Rx,pose_Ry,pose_Rz,eye_lmk_x_25,eye_lmk_y_25,eye_lmk_x_53,eye_lmk_y_53,face_coord_x,face_coord_y,new_face_id,face_id_update
53,0,1.733,0.98,1,0.007,0.136,-0.127,270.4,282.3,349.7,272.7,310.04999999999995,277.5,0.0,False
54,0,1.767,0.98,1,0.018,0.145,-0.136,271.6,282.7,351.5,273.2,311.55,277.95,0.0,False
55,0,1.8,0.98,1,0.015,0.132,-0.119,273.3,283.0,352.7,273.8,313.0,278.4,0.0,False
56,0,1.833,0.98,1,0.019,0.143,-0.139,273.3,283.9,352.9,274.3,313.1,279.1,0.0,False
57,0,1.867,0.98,1,0.022,0.15,-0.15,273.3,284.5,352.5,274.4,312.9,279.45,0.0,False
58,0,1.9,0.98,1,0.019,0.141,-0.141,272.8,284.8,351.5,273.7,312.15,279.25,0.0,False
59,0,1.933,0.98,1,0.024,0.147,-0.171,271.7,286.1,350.3,273.7,311.0,279.9,0.0,False
60,0,1.967,0.98,1,0.015,0.135,-0.17,270.4,287.3,348.8,273.8,309.6,280.55,0.0,False
61,0,2.0,0.98,1,0.026,0.144,-0.195,269.2,288.4,347.2,273.9,308.2,281.15,0.0,False
62,0,2.033,0.98,1,0.019,0.135,-0.188,268.6,288.6,346.1,273.9,307.35,281.25,0.0,False
63,0,2.067,0.98,1,0.023,0.14,-0.208,267.9,289.0,345.3,273.6,306.6,281.3,0.0,False
64,0,2.1,0.98,1,0.014,0.129,-0.194,267.3,288.8,344.7,273.6,306.0,281.20000000000005,0.0,False
65,0,2.133,0.98,1,0.018,0.135,-0.207,266.8,288.7,344.4,273.5,305.6,281.1,0.0,False
66,0,2.167,0.98,1,0.022,0.138,-0.21,266.9,288.6,344.7,273.5,305.79999999999995,281.05,0.0,False
67,0,2.2,0.98,1,0.019,0.127,-0.191,267.1,288.2,344.9,273.5,306.0,280.85,0.0,False
68,0,2.233,0.98,1,0.019,0.132,-0.203,267.3,288.3,345.4,273.6,306.35,280.95000000000005,0.0,False
69,0,2.267,0.98,1,0.02,0.128,-0.204,267.8,288.2,345.6,273.6,306.70000000000005,280.9,0.0,False
70,0,2.3,0.98,1,0.021,0.13,-0.204,267.9,288.1,345.9,273.6,306.9,280.85,0.0,False
