frame,face_id,timestamp,confidence,success,pose_Rx,pose_Ry,pose_Rz,eye_lmk_x_25,eye_lmk_y_25,eye_lmk_x_53,eye_lmk_y_53,face_coord_x,face_coord_y,new_face_id,face_id_update
53,0,1.733,0.98,1,-0.031,0.063,0.701,381.4,275.8,445.7,326.3,413.54999999999995,301.05,0.0,False
54,0,1.767,0.98,1,-0.037,0.074,0.647,374.9,273.3,441.9,320.6,408.4,296.95000000000005,0.0,False
55,0,1.8,0.98,1,-0.042,0.078,0.585,368.0,271.2,438.4,314.5,403.2,292.85,0.0,False
56,0,1.833,0.98,1,-0.045,0.078,0.522,361.1,268.7,434.2,307.8,397.65,288.25,0.0,False
57,0,1.867,0.98,1,-0.037,0.082,0.457,354.6,267.2,429.2,301.4,391.9,284.29999999999995,0.0,False
58,0,1.9,0.98,1,-0.032,0.088,0.387,347.1,266.7,424.3,296.0,385.70000000000005,281.35,0.0,False
59,0,1.933,0.98,1,-0.034,0.087,0.321,339.9,266.9,418.4,291.6,379.15,279.25,0.0,False
60,0,1.967,0.98,1,-0.026,0.088,0.256,332.6,267.8,412.1,287.4,372.35,277.6,0.0,False
61,0,2.0,0.98,1,-0.02,0.086,0.198,325.7,269.4,406.3,285.0,366.0,277.2,0.0,False
62,0,2.033,0.98,1,-0.005,0.089,0.131,318.6,272.3,400.3,282.7,359.45000000000005,277.5,0.0,False
63,0,2.067,0.98,1,0.012,0.09,0.078,312.4,275.9,393.8,281.9,353.1,278.9,0.0,False
64,0,2.1,0.98,1,0.023,0.087,0.024,306.8,279.8,388.5,282.1,347.65,280.95000000000005,0.0,False
65,0,2.133,0.98,1,0.052,0.082,-0.023,302.8,283.7,384.4,282.2,343.6,282.95,0.0,False
66,0,2.167,0.98,1,0.064,0.076,-0.059,299.2,286.8,381.1,282.8,340.15,284.8,0.0,False
67,0,2.2,0.98,1,0.072,0.068,-0.083,296.8,289.2,378.4,283.5,337.6,286.35,0.0,False
68,0,2.233,0.98,1,0.066,0.062,-0.093,295.7,290.0,376.8,284.0,336.25,287.0,0.0,False
69,0,2.267,0.98,1,0.073,0.059,-0.095,294.3,290.2,375.3,283.7,334.8,286.95,0.0,False
70,0,2.3,0.98,1,0.077,0.059,-0.096,293.8,290.2,374.7,283.8,334.25,287.0,0.0,False
71,0,2.333,0.98,1,0.074,0.058,-0.094,293.3,290.4,374.7,284.3,334.0,287.35,0.0,False
72,0,2.367,0.98,1,0.076,0.061,-0.093,293.6,290.5,374.5,284.3,334.05,287.4,0.0,False
73,0,2.4,0.98,1,0.073,0.062,-0.09,293.7,290.0,374.9,284.3,334.29999999999995,287.15,0.0,False
74,0,2.433,0.98,1,0.07,0.062,-0.087,293.7,289.3,375.3,283.9,334.5,286.6,0.0,False
75,0,2.467,0.98,1,0.07,0.061,-0.082,294.2,288.8,375.8,283.9,335.0,286.35,0.0,False
76,0,2.5,0.98,1,0.067,0.063,-0.081,294.4,288.6,376.0,283.9,335.2,286.25,0.0,False
