,mean_x,std_x,mad_x,max_x,min_x,energy_x,entropy_x,iqr_x,range_x,skewness_x,kurtosis_x,mean_y,std_y,mad_y,max_y,min_y,energy_y,entropy_y,iqr_y,range_y,skewness_y,kurtosis_y,mean_z,std_z,mad_z,max_z,min_z,energy_z,entropy_z,iqr_z,range_z,skewness_z,kurtosis_z,frame_in,frame_out,timestamp_in,timestamp_out,label
0,0.1033125,0.090221753716884,0.066,0.273,-0.06,0.0188134375,-inf,0.131,0.333,0.030518885283026,-0.804956831545371,0.0849375,0.013654068761728,0.01,0.112,0.059,0.0074008125,3.45274935815694,0.018,0.053,0.098634428367767,-0.62103864470981,-0.09575,0.013155322116923,0.009,-0.075,-0.119,0.009341125,3.45637364630972,0.019,0.044,-0.31336571102297,-0.941373439961937,1,32,0,1.033,1
1,0.15,0.065397343218207,0.062,0.273,0.049,0.0267768125,3.36815497345548,0.1255,0.224,0.214725349439482,-1.23068229651633,0.07684375,0.010550797881559,0.0085,0.095,0.057,0.00601628125,3.45616107883772,0.0165,0.038,-0.194206027328833,-0.901388982392995,-0.08225,0.007778174593052,0.004,-0.067,-0.103,0.0068255625,3.46133014872267,0.00825,0.036,-0.612509334736491,0.289566756027595,17,48,0.533,1.567,1
2,0.13953125,0.066109277135947,0.0545,0.254,0.001,0.02383940625,3.32956079755294,0.105,0.253,-0.220984918787233,-0.774226746589672,0.08690625,0.018004095671194,0.014,0.126,0.057,0.00787684375,3.44438141229437,0.027,0.069,0.288117505617181,-0.793967088580227,-0.0755625,0.005436781561733,0.004,-0.063,-0.088,0.00573925,3.46313663137533,0.00725,0.025,0.068810557232082,-0.110981744877257,33,64,1.067,2.1,1
3,0.18571875,0.093650358506722,0.066,0.379,0.001,0.04326184375,3.31889695740074,0.123,0.378,0.200418342050065,-0.304201458737937,0.09646875,0.013831540891654,0.0105,0.126,0.069,0.00949753125,3.45539309680823,0.0195,0.057,0.044010983696359,-0.603164812517009,-0.06278125,0.012053874830838,0.009,-0.04,-0.079,0.00408678125,3.44645180107141,0.01625,0.039,0.497027234683334,-0.983946351051183,49,80,1.6,2.633,1
4,0.2504375,0.087917197372016,0.0855,0.396,0.096,0.070448375,3.40242623689937,0.15275,0.3,0.107026829974004,-1.23022429674585,0.0765625,0.019241779900779,0.018,0.117,0.051,0.0062320625,3.43457055479373,0.0305,0.066,0.384749741219033,-1.00931348670294,-0.061375,0.011307491985405,0.0065,-0.04,-0.078,0.00389475,3.44814973897183,0.0135,0.038,0.36551972211861,-0.838306418186131,65,96,2.133,3.167,1
5,0.23459375,0.091951705862031,0.0805,0.396,0.086,0.06348934375,3.38582238039772,0.17,0.31,0.087820195281919,-1.18424944479493,0.0626875,0.007277694947578,0.0055,0.077,0.051,0.0039826875,3.45903369237553,0.01225,0.026,0.253099046674432,-1.02573915461564,-0.07115625,0.007361680238743,0.006,-0.058,-0.085,0.00511740625,3.46036763340834,0.0105,0.027,-0.014252859379905,-1.00168589842756,81,112,2.667,3.7,1
6,0.19375,0.082930317134327,0.083,0.345,0.066,0.0444165,3.37144805632832,0.1605,0.279,0.194790754137289,-1.19472993569979,0.068625,0.011679977525663,0.0075,0.094,0.049,0.0048458125,3.45142298006675,0.01325,0.045,0.419951350371529,-0.352285961232691,-0.069625,0.006945097191545,0.0035,-0.058,-0.085,0.004895875,3.46083767433985,0.00725,0.027,-0.591442949249571,-0.302459639045585,97,128,3.2,4.233,1
7,0.2070625,0.109138082692294,0.094,0.429,0.066,0.054786,3.32605621387241,0.1755,0.363,0.445093915147509,-0.990406886002888,0.06046875,0.015931463317521,0.0095,0.094,0.036,0.00391028125,3.43230160518064,0.02225,0.058,0.685824725347323,-0.644210665955809,-0.06815625,0.00739133519315,0.0025,-0.056,-0.09,0.00469990625,3.46007591360668,0.00525,0.034,-1.25892391761158,1.65611160132534,113,144,3.733,4.767,1
8,0.2258125,0.118100179270609,0.107,0.429,0.042,0.0649389375,3.31770153233926,0.229,0.387,0.072175343035062,-1.32292800549714,0.05571875,0.010794195126896,0.0085,0.076,0.036,0.00322109375,3.44675634600124,0.01625,0.04,0.02369457102739,-0.998140996295523,-0.0644375,0.009993552609058,0.0045,-0.048,-0.09,0.0042520625,3.45396696180279,0.0095,0.042,-0.649403226488583,0.358760848448139,129,160,4.267,5.3,1
9,0.23925,0.105150190204298,0.0975,0.404,0.042,0.068297125,3.35850438274226,0.171,0.362,-0.158079675164927,-1.17657587558168,0.0675,0.014764823060233,0.0065,0.094,0.038,0.00477425,3.44150190655403,0.0145,0.056,0.116563779393807,-0.435491804141066,-0.06203125,0.012600804475806,0.008,-0.048,-0.092,0.00400665625,3.44602863989861,0.01575,0.044,-0.903667261277302,-0.163515874837462,145,176,4.8,5.833,1
